datetime,region,cnt
2016-04-30 23:00:00,1075,92.0
2016-05-01 00:00:00,1075,71.0
2016-05-01 01:00:00,1075,37.0
2016-05-01 02:00:00,1075,10.0
2016-05-01 03:00:00,1075,14.0
2016-05-01 04:00:00,1075,6.0
2016-05-01 05:00:00,1075,8.0
2016-05-01 06:00:00,1075,10.0
2016-05-01 07:00:00,1075,21.0
2016-05-01 08:00:00,1075,17.0
2016-05-01 09:00:00,1075,23.0
2016-05-01 10:00:00,1075,51.0
2016-05-01 11:00:00,1075,73.0
2016-05-01 12:00:00,1075,99.0
2016-05-01 13:00:00,1075,96.0
2016-05-01 14:00:00,1075,96.0
2016-05-01 15:00:00,1075,102.0
2016-05-01 16:00:00,1075,91.0
2016-05-01 17:00:00,1075,85.0
2016-05-01 18:00:00,1075,70.0
2016-05-01 19:00:00,1075,55.0
2016-05-01 20:00:00,1075,48.0
2016-05-01 21:00:00,1075,32.0
2016-05-01 22:00:00,1075,21.0
2016-05-01 23:00:00,1075,20.0
2016-05-02 00:00:00,1075,12.0
2016-05-02 01:00:00,1075,4.0
2016-05-02 02:00:00,1075,5.0
2016-05-02 03:00:00,1075,3.0
2016-05-02 04:00:00,1075,5.0
2016-05-02 05:00:00,1075,7.0
2016-05-02 06:00:00,1075,22.0
2016-05-02 07:00:00,1075,42.0
2016-05-02 08:00:00,1075,85.0
2016-05-02 09:00:00,1075,57.0
2016-05-02 10:00:00,1075,55.0
2016-05-02 11:00:00,1075,69.0
2016-05-02 12:00:00,1075,90.0
2016-05-02 13:00:00,1075,84.0
2016-05-02 14:00:00,1075,119.0
2016-05-02 15:00:00,1075,96.0
2016-05-02 16:00:00,1075,91.0
2016-05-02 17:00:00,1075,95.0
2016-05-02 18:00:00,1075,104.0
2016-05-02 19:00:00,1075,101.0
2016-05-02 20:00:00,1075,110.0
2016-05-02 21:00:00,1075,114.0
2016-05-02 22:00:00,1075,97.0
2016-05-02 23:00:00,1075,59.0
2016-05-03 00:00:00,1075,21.0
2016-05-03 01:00:00,1075,21.0
2016-05-03 02:00:00,1075,5.0
2016-05-03 03:00:00,1075,3.0
2016-05-03 04:00:00,1075,6.0
2016-05-03 05:00:00,1075,3.0
2016-05-03 06:00:00,1075,26.0
2016-05-03 07:00:00,1075,51.0
2016-05-03 08:00:00,1075,92.0
2016-05-03 09:00:00,1075,79.0
2016-05-03 10:00:00,1075,70.0
2016-05-03 11:00:00,1075,80.0
2016-05-03 12:00:00,1075,76.0
2016-05-03 13:00:00,1075,108.0
2016-05-03 14:00:00,1075,86.0
2016-05-03 15:00:00,1075,91.0
2016-05-03 16:00:00,1075,68.0
2016-05-03 17:00:00,1075,100.0
2016-05-03 18:00:00,1075,132.0
2016-05-03 19:00:00,1075,122.0
2016-05-03 20:00:00,1075,97.0
2016-05-03 21:00:00,1075,73.0
2016-05-03 22:00:00,1075,103.0
2016-05-03 23:00:00,1075,72.0
2016-05-04 00:00:00,1075,37.0
2016-05-04 01:00:00,1075,20.0
